商品名称,商品价格,店铺名称,商品评论量,发货地,商品链接,店铺链接,图片链接
逸福瑞 新中式苏绣成品挂画横板荷花水墨莲花餐厅客厅苏州刺绣湘绣绣品装饰挂画荷气生财 荷气生财 69*184实木框,￥3980.00,逸福瑞官方旗舰店,0,四川,https://item.jd.com/10065659405018.html,https://mall.jd.com/index-10455659.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/212790/32/23296/34689/6371de22Ea5d4a662/86627f33f3e04bda.jpg
老秀馆 手工刺绣双面绣客厅玄关办公室装饰摆件工艺品搬家乔迁升职礼物中国风特色礼品圣诞节礼物送老外 节节高（成都发货）,￥318.00,老秀馆官方旗舰店,200+,四川,https://item.jd.com/53050446151.html,https://mall.jd.com/index-10051377.html?from=pc,https://img11.360buyimg.com/n7/jfs/t1/39630/25/17401/119313/62de498eEe776b9bd/b6b039ca6c581829.jpg
陌上桑 双面绣手工刺绣乔迁礼物四川特色中式装饰摆件中国风礼品送老外圣诞节礼物开业入伙搬家乔迁礼物 五福临门-梅花双熊猫,￥368.00,齐力礼品专营店,1000+,四川,https://item.jd.com/10505662499.html,https://mall.jd.com/index-197207.html?from=pc,https://img14.360buyimg.com/n7/jfs/t22156/317/911067894/438639/32b15154/5b1b4ca5N3bf7852a.jpg
陌上桑 双面绣手工刺绣熊猫四川成都特色中式装饰摆件中国风礼品送老外纪念品开业乔迁新居圣诞节礼物 竹子双熊猫（成都发货）,￥329.00,齐力礼品专营店,2000+,四川,https://item.jd.com/10022720408515.html,https://mall.jd.com/index-197207.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/73263/35/21213/159317/62df6129E0d10e66c/96f8eca58af258f7.jpg
陌上桑 中国风礼品双面绣檀木手工刺绣熊猫屏风办公室摆件中国四川特色圣诞节礼品送老外出国纪念礼物 节节高,￥568.00,齐力礼品专营店,200+,四川,https://item.jd.com/24423592125.html,https://mall.jd.com/index-197207.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/211207/28/24638/156701/62df5cdcEc503aec5/414f2f4c6b99a5eb.jpg
中国风非遗锦鲤鱼礼品摆件双面手工刺绣家居装饰品四川特色礼物送老外 锦鲤-如意 15cm画心,￥510.00,安靖蜀绣之乡旗舰店,100+,四川,https://item.jd.com/10041058445958.html,https://mall.jd.com/index-10111120.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/137757/23/21101/80131/619dd4c2E81144c4c/820472413f1cde42.jpg
梦佳家画（MEJJHUA） 苏绣成品挂画客厅餐厅背景墙装饰画纯手工刺绣画卧室书房高档壁画真丝画 富贵吉祥 带框85x60cm,￥2680.00,梦佳家画居家旗舰店,0,四川,https://item.jd.com/10064856023579.html,https://mall.jd.com/index-11623336.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/207104/2/26968/89224/6364e4b9E44b106fd/41257bdefa43b308.jpg
陌上桑 双面绣手工刺绣大熊猫摆件中国特色礼品送老外礼物出国外事礼品圣诞节礼物送老师送同学 竹子双熊猫,￥348.00,齐力礼品专营店,43,四川,https://item.jd.com/53604934313.html,https://mall.jd.com/index-197207.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/142174/31/28292/119313/62df5ddaE05794652/8b5faefabbe5a1a4.jpg
安靖之乡 非遗蜀锦生肖属虎摆件礼盒 原创设计岩彩画猛虎图案 德化白瓷茶具套装高档礼品 虎年大吉礼盒 43.5*31*12cm,￥390.00,安靖蜀绣之乡旗舰店,4,四川,https://item.jd.com/10043641048007.html,https://mall.jd.com/index-10111120.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/162898/38/25008/758318/61e0ed34E42683885/b0d179de06e54c11.jpg
陌上桑 双面绣手工刺绣熊猫四川成都特色中式装饰摆件中国风礼品送老外纪念品开业乔迁新居圣诞节礼物 刻字上金 联系客服（成都发货）,￥344.00,齐力礼品专营店,2000+,四川,https://item.jd.com/10171796254.html,https://mall.jd.com/index-197207.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/10635/16/16236/158223/6267b6f4Ebea4a36e/9bb20f3721cff1d3.jpg
安靖之乡 太极锦鲤鱼双面绣摆件家居装饰品中国特色礼物送老外手工刺绣非遗工艺礼品 原木框（18*30cm）,￥900.00,安靖蜀绣之乡旗舰店,80,四川,https://item.jd.com/10023043198211.html,https://mall.jd.com/index-10111120.html?from=pc,https://img11.360buyimg.com/n7/jfs/t1/112278/26/17730/117815/5f5f2a4aEb4f3de6c/075733ea5110e715.jpg
老秀馆 单面绣相框画摆件书房办公室桌面摆件雪娃娃成都特色伴手礼品送老外纪念品毕业礼物送老师 抱荷花,￥118.00,老秀馆官方旗舰店,47,四川,https://item.jd.com/10039117106536.html,https://mall.jd.com/index-10051377.html?from=pc,https://img11.360buyimg.com/n7/jfs/t1/126564/40/20535/140874/61712a1bE02bff718/67db898667926635.jpg
 手工刺绣 湘绣 双面绣中国风特色礼品湘绣摆件苏绣双面绣苏州手工刺绣屏风成品摆件新中式台屏工艺品 熊猫J-鸡翅木,￥277.20,文平家居日用专营店,1,四川,https://item.jd.com/10041046780185.html,https://mall.jd.com/index-11625909.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/170600/14/25609/170200/619da87bEc56efb35/06199191ecb81ae0.jpg
陌上桑 双面绣手工刺绣熊猫四川成都特色中式装饰摆件中国风礼品送老外纪念品开业乔迁新居圣诞节礼物 年年有余（成都发货）,￥309.00,齐力礼品专营店,2000+,四川,https://item.jd.com/10039625565445.html,https://mall.jd.com/index-197207.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/131626/6/20817/149468/61e64610E614227b2/c7f66eae0fcdb5cb.jpg
陌上桑 双面绣手工刺绣熊猫四川成都特色中式装饰摆件中国风礼品送老外纪念品开业乔迁新居圣诞节礼物 舐犊情深（成都发货）,￥309.00,齐力礼品专营店,2000+,四川,https://item.jd.com/10026208160445.html,https://mall.jd.com/index-197207.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/87677/39/23415/155134/62b9138dE32f0fdff/ce741527dd4fb61a.jpg
中国风非遗锦鲤鱼礼品摆件双面手工刺绣家居装饰品四川特色礼物送老外 锦鲤-鸡翅木外框 15cm画心,￥510.00,安靖蜀绣之乡旗舰店,100+,四川,https://item.jd.com/10041058445957.html,https://mall.jd.com/index-10111120.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/138466/13/26371/108215/619dd4d7Efe329705/db75849f6bb2d058.jpg
中国风非遗锦鲤鱼礼品摆件双面手工刺绣家居装饰品四川特色礼物送老外 鲤跃龙门 15cm画心,￥510.00,安靖蜀绣之乡旗舰店,100+,四川,https://item.jd.com/10047363851448.html,https://mall.jd.com/index-10111120.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/214904/22/15690/122871/623c25c0Ea3bba92d/a0718ddfe41c3576.jpg
陌上桑 双面绣手工刺绣摆件客厅玄关办公室装饰摆件工艺品乔迁搬家礼物中国风成都特色商务送礼送老外朋 竹子熊猫,￥528.00,齐力礼品专营店,4,四川,https://item.jd.com/10057206356382.html,https://mall.jd.com/index-197207.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/1517/3/18768/119311/62e0df01E95a5a4f7/55307f6da8982ba5.jpg
