标题,价格,店铺,销量,地点,商品详情页,店铺链接,图片链接
四川特色工艺品礼物送老外蜀绣双面绣熊猫纪,368,guowenchang1,4人付款,四川 成都,https://click.simba.taobao.com/cc_im?p=%CA%F1%D0%E5&s=1942572195&k=749&e=jfSLb3LOqKik0bBISO6jREfZun7fq6ZdQvzS%2BYdJ2ks9igPVxtCBc4KkkkSXM30qVDF4HZhUp8U9ZjN3NgVNVPgJKN0JUOlr%2Fym69Iy3U1JyrhNto%2FLqcXrtFfbgTxJYZeJvImhYeBNqtl7yMHlaDxMEoaU2QXHopplsrl8A84uCSEteJxnBLyrTnEWsH%2FsUq5pah7WLjVq4rVKkmvh%2BAfIDX6hWqi6AaaxIb5HMmeINEGF%2FbQ5KatVxn2FiY6RdxViH%2Frro9ti%2ByEq8cmE57chuCkUTrpvRA5ewiSFQLOuBXnSdpDWZHj85mjtOCj9LBNA1bM8zGQuxFkVAbY41%2B%2Fnuy%2B%2BMj2zTj0lximwZGhlYKVqCgPf7k53J%2Fpi%2FexALbDyskGJkpiKygF4H4YQ6MkMoOeHqG%2BzvFq1nDzuymIgfkIrH492eHXgns%2BId08KlPzmaO04KP0thBTWkIXp1jv37imreKL18RHdckrfBe4COnOSD1xGyVvgGdtOBiAyU2Oog03QS80kYQgKBHBL76ZTW9Zs9BnwX%2BUDjAX92Qcu%2BINA1TU489nr7B88BN5mBOM6X%2BjZrxic7zbjaF2Ba6QF1ZKpnT74nxNmeHG4zoJOYMLepXNk8tfUWgyWM3e8JtpyCouHe6CfZ1n4kdLwilf%2FI4QO0Yn7Hr9wh4aZ3tP7ZKRDczkBxpEWhMKymuKKrQGxpNZeNkuIuPIEdnCed8Ssd9dH8kTUaky2MXv7ZeOo%3D#detail,https://click.simba.taobao.com/cc_im?p=%CA%F1%D0%E5&s=1942572195&k=717&e=pbyGK2AmUJ%2Bk0bBISO6jREfZun7fq6ZdQvzS%2BYdJ2ks9igPVxtCBc4KkkkSXM30qVDF4HZhUp8U%2FVYeefMUkyvgJKN0JUOlr%2Fym69Iy3U1JyrhNto%2FLqcXrtFfbgTxJYZeJvImhYeBNqtl7yMHlaDxMEoaU2QXHopplsrl8A84uCSEteJxnBLyrTnEWsH%2FsUq5pah7WLjVq4rVKkmvh%2BAfIDX6hWqi6AaaxIb5HMmeINEGF%2FbQ5KatVxn2FiY6RdxViH%2Frro9ti%2ByEq8cmE57chuCkUTrpvRA5ewiSFQLOuBXnSdpDWZHj85mjtOCj9LBNA1bM8zGQuxFkVAbY41%2B%2Fnuy%2B%2BMj2zTj0lximwZGhlYKVqCgPf7k53J%2Fpi%2FexALRAPu9AryVz0WMAPwzNiM6KY4WhQTHaHtZ46XYDzQIYQXanPgs%2Fs7r0MDuG%2Fh61AjqN%2BQgLp0ZLQX5nXcTqcZDlnWATEwD9DgYbkv5PeEY0VOnu2S3ZvLhPTIjnvZ%2Bu7CGJvfkiCoipt7hkmL5Sy5kVQHtS5%2FwjWZrhCnbplRmqUR9si2W3wEsFv%2BFb0kc70KVKVMBMCDcV0Ohl56nodQzP7FQo4cmuomZ7IfgVllzJH8GQlwMs69r6qkYAcs9Me2zZkuele61kIrvnHbako9wRtQofHvNGDg5c8GnkLDNOicijSRJ02%2Bany03buZIn%2Fu%2BranJdCZ42w%3D,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i1/15508594/O1CN01bNIglr2DM6XEH3vAP_!!0-saturn_solar.jpg
原创蜀绣摆件中国风手工刺绣双面绣成都特色伴手礼会议礼品送老外,378,丑丑娃0422,0人付款,四川 成都,https://click.simba.taobao.com/cc_im?p=%CA%F1%D0%E5&s=1942572195&k=769&e=0qzBXpUF%2BD6k0bBISO6jREfZun7fq6ZdQvzS%2BYdJ2ks9igPVxtCBc4KkkkSXM30qCYtYo%2BkzodoL5TLFQy8dqfUFXkYwSS9V%2Fym69Iy3U1JyrhNto%2FLqcXrtFfbgTxJYZeJvImhYeBNqtl7yMHlaDxMEoaU2QXHopplsrl8A84uCSEteJxnBLyrTnEWsH%2FsUq5pah7WLjVq4rVKkmvh%2BAfIDX6hWqi6AaaxIb5HMmeINEGF%2FbQ5KatVxn2FiY6RdxViH%2Frro9ti%2ByEq8cmE57chuCkUTrpvRA5ewiSFQLOuBXnSdpDWZHh4cUePBfvvDdGSsttcUaNH11zdk6Pv5tQZbnXbRohtaFq2PWseXQpCdakXiUi%2BxzJ6pBh8vYwtSAFU4Io6sng5uR8BSJ%2BSOL8OsKCr%2Bize5EkAJGjWF%2FIwqv0XSQ1JvM1KAFfrMXEyRYr65cN97s4tVpxY4If4zl0MDuG%2Fh61Aj39jU7hTMpOxn1yLiRE5zdYIg%2F3%2FKyq3Id2n6aacCkRdOnu2S3ZvLhPTIjnvZ%2Bu7C%2F5LesNzM4L5IhoUfb9HSHEhzNnmk2wq76MmQdqqFHxUBQm40Al%2B8TagpWTJTQ1UValzdS0w2fSt%2BDwTEx583U3DP3GJc58IXmVsTCRGZx38Q%2FJYYNQ2QcQuhopktOg2MoN0dzpxV5geDFGWdKuEfUq1h7DS%2Fmj%2BuEnGvcYJPLjKSGF1eex0PmLkwx%2BDtkqxz8DpsyntR3TkTPzXTS%2B02y2IOHBwADoT5#detail,https://click.simba.taobao.com/cc_im?p=%CA%F1%D0%E5&s=1942572195&k=737&e=BRmEXkCbzpmk0bBISO6jREfZun7fq6ZdQvzS%2BYdJ2ks9igPVxtCBc4KkkkSXM30qCYtYo%2BkzodrOTXxsuBpHO%2FUFXkYwSS9V%2Fym69Iy3U1JyrhNto%2FLqcXrtFfbgTxJYZeJvImhYeBNqtl7yMHlaDxMEoaU2QXHopplsrl8A84uCSEteJxnBLyrTnEWsH%2FsUq5pah7WLjVq4rVKkmvh%2BAfIDX6hWqi6AaaxIb5HMmeINEGF%2FbQ5KatVxn2FiY6RdxViH%2Frro9ti%2ByEq8cmE57chuCkUTrpvRA5ewiSFQLOuBXnSdpDWZHh4cUePBfvvDdGSsttcUaNH11zdk6Pv5tQZbnXbRohtaFq2PWseXQpCdakXiUi%2BxzJ6pBh8vYwtSVML5s9zDyfZR77MISaNZPUPrjzF%2FLI0ccoiJY8aGvl7XWEVNQ6TklbFSFoz0tP4HsLYDfnvh%2F3cmnDKt2ss9Kq%2FFq4kSNyzEocWJCO%2FYH6GduYema%2Fl%2BiznEtLyXrNQzGTTVWqazMRfd%2FjvicfHIuu%2Fyvxnkfoule4ZJi%2BUsuZFUB7Uuf8I1ma4Qp26ZUZqlEfbItlt8BLBb%2FhW9JHO9ClSlTATAg3FdDoZeep6HUMz%2BxUKOHJrqJmeyH4FZZcyR%2FBkJcDLOva%2BqpGAHLPTHtrpItWrCcPSfw0Qt3CLhDd8bUKHx7zRg4OXPBp5CwzTo261CD7MR%2B7h8tN27mSJ%2F7vq2pyXQmeNs,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i4/15332115/O1CN01UQrvyE1RUiT5EBW8N_!!0-saturn_solar.jpg
蜀绣手工刺绣熊猫双面绣工艺摆件中国风特色礼物送老外成都纪念品,288,老秀馆旗舰店,38人付款,四川 成都,//detail.tmall.com/item.htm?id=543842851391&ns=1&abbucket=18,//store.taobao.com/shop/view_shop.htm?user_number_id=3063757766,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/3063757766/O1CN01uSDIp927Esamlm0Lw_!!0-item_pic.jpg
蜀绣手工刺绣双面绣屏风摆件四川特色中国风特色礼物送老外纪念品,318,老秀馆旗舰店,6人付款,四川 成都,//detail.tmall.com/item.htm?id=544464741116&ns=1&abbucket=18,//store.taobao.com/shop/view_shop.htm?user_number_id=3063757766,//g-search2.alicdn.com/img/bao/uploaded/i4/i3/3063757766/O1CN01carTWE27EsdgOnN7b_!!0-item_pic.jpg
成都特色伴手礼蜀绣手工刺绣熊猫摆件中国风礼品送老外新款如意,278,丑丑娃0422,71人付款,四川 成都,//item.taobao.com/item.htm?id=568528055636&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=277583047,//g-search1.alicdn.com/img/bao/uploaded/i4/i2/277583047/O1CN01wBa3Aj1YNZbhI316w_!!0-item_pic.jpg
寻锦记四川成都特色蜀绣鸡翅木方架摆件步步高升熊猫双面绣刺绣,3000,成都盛世家居专营店,3人付款,四川 成都,//detail.tmall.com/item.htm?id=640579736248&ns=1&abbucket=18,//store.taobao.com/shop/view_shop.htm?user_number_id=685496587,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/685496587/O1CN014Uiwcv1yWtYNVT5SX_!!0-item_pic.jpg
成都特产蜀绣手工刺绣围巾纪念品中国风桑蚕丝真丝出国送老外礼品,289,西祠宫坊成都专卖,48人付款,四川 内江,//detail.tmall.com/item.htm?id=521803772500&ns=1&abbucket=18,//store.taobao.com/shop/view_shop.htm?user_number_id=2581201201,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/2581201201/O1CN01RSYsZz1Kk6IzmVERz_!!0-item_pic.jpg
寻锦记四川特色蜀绣刺绣双面绣小屏风熊猫摆件商务外事礼品伴手礼,1680,成都盛世家居专营店,6人付款,四川 成都,//detail.tmall.com/item.htm?id=618864542318&ns=1&abbucket=18,//store.taobao.com/shop/view_shop.htm?user_number_id=685496587,//g-search1.alicdn.com/img/bao/uploaded/i4/i4/685496587/O1CN01e8MG9L1yWtcW97DZI_!!0-item_pic.jpg
原创手工蜀绣桌屏丨中国风双面绣刺绣摆件四川熊猫纪念礼品送老外,598,蜀江锦院旗舰店,15人付款,四川 成都,//detail.tmall.com/item.htm?id=622859666343&ns=1&abbucket=18,//store.taobao.com/shop/view_shop.htm?user_number_id=3684665251,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/3684665251/O1CN01KMCd1C1of0XOPWaxh_!!0-item_pic.jpg
中国风礼品礼物送老外传统刺绣纪念品四川的蜀绣熊猫工艺屏风摆件,498,guowenchang1,5人付款,四川 成都,//item.taobao.com/item.htm?id=582529539164&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=48589795,//g-search1.alicdn.com/img/bao/uploaded/i4/i3/48589795/O1CN01JAHPuh2MEA3CO7wut_!!0-item_pic.jpg
